playerID,Years_Batted,totGB,totRB,totHB,tot2B,tot3B,totHRB,totSOB,Years_Pitched,totGP,totRP,totHP,totW,totL,totHRP,totSOP,totIPOuts,totER,totBB,Years_Fielded,totGF,totA,totPO,totE,totDP,totPB,totCS,totInnOuts,totSB,debut,finalGame,deathYear,inducted
johnswa01,21,939,241,549,94,41,24,254,21,808,1922,4969,420,282,101,3544,17894,1438,1378,21,821,1360,293,54,74,0,4,150,6,1907-08-02,1927-09-30,1946,1
ottme01,22,2746,1867,2894,490,72,515,905,0,0,0,0,0,0,0,0,0,0,0,21,2591,792,4761,148,99,0,0,429,0,1926-04-27,1947-07-11,1958,1
wanerpa01,20,2553,1627,3157,606,191,113,377,0,0,0,0,0,0,0,0,0,0,0,19,2365,270,5521,144,105,0,0,104,0,1926-04-13,1945-04-26,1965,1
perezto01,23,2824,1288,2773,511,79,385,1904,0,0,0,0,0,0,0,0,0,0,0,23,2583,2488,15466,245,1508,0,0,64263,0,1964-07-26,1986-10-05,,1
longhe01,16,1880,1459,2133,342,97,91,261,0,0,0,0,0,0,0,0,0,0,0,16,1881,6334,4446,1096,785,0,0,0,0,1889-04-17,1904-07-13,1909,0
ferrewe01,15,548,175,329,57,12,38,185,15,374,1382,2845,193,128,132,985,7869,1177,1040,15,387,533,153,17,31,0,0,0,0,1927-09-09,1941-05-06,1976,0
harribu01,12,1277,729,1310,224,64,11,317,0,0,0,0,0,0,0,0,0,0,0,12,1271,3890,3464,266,814,0,0,378,0,1919-08-28,1931-06-12,1977,0
howarel01,14,1659,644,1513,225,51,172,823,0,0,0,0,0,0,0,0,0,0,0,14,1539,551,7792,70,165,79,226,37874,294,1955-04-14,1968-09-29,1980,0
whitewi01,10,403,167,271,28,7,1,128,10,403,1844,3440,229,166,65,1041,10628,896,496,10,408,715,118,106,10,0,0,0,0,1877-07-20,1886-07-05,1911,0
lanieha01,10,1197,297,843,111,20,8,436,0,0,0,0,0,0,0,0,0,0,0,10,1222,3408,2042,140,598,0,0,28330,0,1964-06-18,1973-09-30,,0
beaucji01,10,397,79,153,18,4,14,151,0,0,0,0,0,0,0,0,0,0,0,8,184,46,755,17,57,0,0,3372,0,1963-09-22,1973-09-20,2007,0
tidrodi01,13,633,6,9,0,0,0,43,13,633,823,1740,101,94,168,989,5341,730,592,13,633,217,99,12,10,0,0,5341,0,1972-04-18,1984-05-07,,0
sundbji01,16,1976,630,1503,246,37,96,974,0,0,0,0,0,0,0,0,0,0,0,16,1944,1013,9861,82,147,131,708,48134,1012,1974-04-04,1989-09-24,,0
daultda01,14,1183,525,909,203,25,140,736,0,0,0,0,0,0,0,0,0,0,0,14,1106,481,5957,74,101,66,290,26905,701,1983-09-25,1997-09-28,,0
